water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",NH4
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",NH4
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""",NO2
"""р.Урал - г.Оренбург""","""3А Загрязненная""",Цинк
"""ВДХР ЗЕЙСКОЕ - С.БОМНАК""","""4А Грязная""",SO4
"""р.Лена - р.п.Качуг""","""2 Слабо загрязненная""",Медь
"""Р.ОБЬ, Г.САЛЕХАРД 5,1КМ НИЖЕ ГОРОДА,В РАЙОНЕ Г/ПОСТА""","""4В Очень грязная""",БПК5
"""р.Ока - г.Коломна""","""4А Грязная""",БПК5
"""р.Амгунь - с.Осипенко""","""4А Грязная""",Медь
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",Хлоpиды
"""Р.КОМАРОВКА, Г.УССУРИЙСК В Ч Г.УССУРИСК""","""4А Грязная""",Хлоpиды
"""р.Неман - г.Советск""","""3А Загрязненная""",Нефтепpод.
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",NO2
"""р.Белая - г.Стерлитамак""","""4А Грязная""",Никель
"""р.Лаба - х.Догужиев""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""",Свинец
"""р.Амур - г.Хабаровск""","""3А Загрязненная""",NO2
"""Р.ДОН - ЦИМЛЯНСКАЯ ГЭС""","""3А Загрязненная""",NH4
"""ВДХР БРАТСКОЕ - Г.УСОЛЬЕ-СИБИРСКОЕ 2""","""1 Условно чистая""",NO3
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",Никель
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",БПК5
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""",Нефтепpод.
"""р.Урал - г.Оренбург""","""3А Загрязненная""","""Фенолы летуч."""
"""Р.ЧУЛЫМ, ПГТ БАТУРИНО, В ЧЕР ПОСЕЛКА""","""4А Грязная""",SO4
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""",Кислоpод
"""р.Амгунь - с.Осипенко""","""4А Грязная""",NO2
"""р.Лена - г.Якутск""","""3А Загрязненная""",БПК5
"""р.Амур - с.Богородское""","""3Б Очень загрязненная""",БПК5
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",Нефтепpод.
"""Р.КУБАНЬ, Г.ТЕМРЮК 3КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",Медь
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",NO2
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",SO4
"""Р.ТОМЬ - Г.ТОМСК""","""3Б Очень загрязненная""",Формальдег.
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",NH4
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",SO4
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",Нефтепpод.
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",SO4
"""р.Обь - д.Белогорье""","""4А Грязная""",NO3
"""р.Неман - г.Советск""","""3А Загрязненная""",Хлоpиды
"""ВДХР ЗЕЙСКОЕ - С.БОМНАК""","""4А Грязная""",NO3
"""р.Индигирка - р.п.Чокурдах""","""3А Загрязненная""",Кислоpод
"""р.Ангара - д.Татарка""","""3Б Очень загрязненная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO2
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",Кислоpод
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",Кислоpод
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""",Медь
"""р.Обь - д.Белогорье""","""4А Грязная""",Кислоpод
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",SO4
"""Р.ИРТЫШ, Г.ОМСК 7КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",SO4
"""Р.ПАТСО-ЙОКИ, БОРИСОГЛЕБСКАЯ Г 1.1КМ НИЖЕ ПЛОТИНЫ ГЭС""","""3А Загрязненная""",Pтуть
"""р.Северная Двина - с.Усть-Пинега""","""3А Загрязненная""",БПК5
"""р.Селенга - с.Кабанск""","""3А Загрязненная""",SO4
"""Р.СЕЛЕНГА, С.МУРЗИНО 0,4КМ НИЖЕ СЕЛА МУРЗИНО""","""3Б Очень загрязненная""",Кислоpод
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",Кислоpод
"""р.Дон - ст-ца Раздорская""","""4А Грязная""","""Железо общ."""
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Енисей - г.Игарка""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""ОТВ.КАНАЛ НИВА—ГЭС—III, Г.КАНДА ЛАКША, 0.2КМ ВЫШЕ УС""","""2 Слабо загрязненная""",Никель
"""Р.ИРТЫШ, Г.ОМСК 7КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",Кислоpод
"""р.Енисей - г.Игарка""","""3Б Очень загрязненная""",Маpганец
"""Р.ОБЬ, Г.САЛЕХАРД 5,1КМ НИЖЕ ГОРОДА,В РАЙОНЕ Г/ПОСТА""","""4В Очень грязная""",Маpганец
"""р.Ока - г.Коломна""","""4А Грязная""","""Окисл. Бихp."""
"""р.Охинка - г.Оха""","""4Б Грязная""",Медь
"""р.Обь - д.Белогорье""","""4А Грязная""","""Железо общ."""
"""р.Лена - р.п.Качуг""","""2 Слабо загрязненная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Кислоpод
"""р.Иртыш - г.Омск""","""3А Загрязненная""",SO4
"""р.Охинка - г.Оха""","""4Б Грязная""",Кислоpод
"""Р.ПАТСО-ЙОКИ, БОРИСОГЛЕБСКАЯ Г 1.1КМ НИЖЕ ПЛОТИНЫ ГЭС""","""3А Загрязненная""",Маpганец
"""р.Вычегда - г.Коряжма""","""3Б Очень загрязненная""",Алюминий
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""",Цинк
"""Р.ПАТСО-ЙОКИ, БОРИСОГЛЕБСКАЯ Г 1.1КМ НИЖЕ ПЛОТИНЫ ГЭС""","""3А Загрязненная""",NO3
"""р.Онега - с.Порог""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",Маpганец
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",Медь
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",NH4
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",NO3
"""ОТВ.КАНАЛ НИВА—ГЭС—III, Г.КАНДА ЛАКША, 0.2КМ ВЫШЕ УС""","""2 Слабо загрязненная""",Цинк
"""Р.СЕВЕРНАЯ ДВИНА,Г.АРХАНГЕЛЬСК В ЧЕРТЕ ГОРОДА""","""3Б Очень загрязненная""",SO4
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",Маpганец
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",Кислоpод
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",БПК5
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",Алюминий
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""",NH4
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",SO4
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",NO3
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",NO2
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",NH4
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",Хлоpиды
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""",NO2
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""","""Окисл. Бихp."""
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""",Медь
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""",Кислоpод
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""",Кислоpод
"""Р.ИЖМА,Д.КАРТАЙОЛЬ,0,2КМ НИЖЕ ДЕРЕВНИ""","""4А Грязная""",Хлоpиды
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""",NH4
"""Р.ИЖМА,Д.КАРТАЙОЛЬ,0,2КМ НИЖЕ ДЕРЕВНИ""","""4А Грязная""",Медь
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""",БПК5
"""Р.ПЕЧОРА,Г.НАРЬЯН—МАР,1КМ НИЖЕ ГОРОДА""","""4А Грязная""",NO3
"""Р.ИЖМА,Д.КАРТАЙОЛЬ,0,2КМ НИЖЕ ДЕРЕВНИ""","""4А Грязная""",Цинк
"""Р.ИЖМА,Д.КАРТАЙОЛЬ,0,2КМ НИЖЕ ДЕРЕВНИ""","""4А Грязная""","""Окисл. Бихp."""
"""Р.ИЖМА,Д.КАРТАЙОЛЬ,0,2КМ НИЖЕ ДЕРЕВНИ""","""4А Грязная""",Кислоpод
"""р.Белая - г.Стерлитамак""","""4А Грязная""","""Окисл. Бихp."""
"""ВОЛГОГРАДСКОЕ ВДХР - Г.ВОЛЖСКИЙ В ЧЕРТЕ ГОРОДА""","""3Б Очень загрязненная""",NH4
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""",БПК5
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""",SO4
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""",NH4
"""р.Обь - г.Салехард""","""4Б Грязная""",Никель
"""р.Хопер - г.Новохоперск""","""3А Загрязненная""",Кислоpод
"""р.Ока - г.Коломна""","""4А Грязная""",Медь
"""р.Ока - г.Коломна""","""4А Грязная""",Кислоpод
"""р.Дон - г.Лиски""","""3А Загрязненная""",NH4
"""р.Амгунь - с.Осипенко""","""4А Грязная""",NH4
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",NO2
"""р.Витим - г.Бодайбо""",,Кислоpод
"""р.УРАЛ - г.ВЕРХНЕУРАЛЬСК""","""3Б Очень загрязненная""",NO3
"""р.Рудная - г.Дальнегорск""","""4Б Грязная""",NO3
"""р.Кубань - г.Краснодар""","""3А Загрязненная""",NO2
"""Р.ВОЛХОВ,Г.НОВАЯ ЛАДОГА 1,2К НИЖЕ ГОРОДА""","""3А Загрязненная""",NO2
"""р.Витим - г.Бодайбо""",,Маpганец
"""р.Тауй - с.Талон""","""4А Грязная""",БПК5
"""ВДХР ЗЕЙСКОЕ - С.БОМНАК""","""4А Грязная""",Цинк
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",БПК5
"""Р.ДНЕПР,Г.СМОЛЕНСК,1,2КМ НИЖ ГОРОДА""","""4А Грязная""",БПК5
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""",Медь
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""",Хлоpиды
"""Р.КЛЯЗЬМА, Г.ОРЕХОВО—ЗУЕВО, НИЖЕ ГОРОДА""","""4Б Грязная""",Хлоpиды
"""Р.КУБАНЬ, Г.ТЕМРЮК,НИЖЕ ГОРОДА""","""3А Загрязненная""",NH4
"""р.Охинка - г.Оха""","""4Б Грязная""",NO3
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""","""Фенолы летуч."""
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""","""Железо общ."""
"""Р.ВОЛГА - Г.ЧКАЛОВСК 4.0 КМ ВЫШЕ ГЭС""","""3Б Очень загрязненная""",Кислоpод
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""",SO4
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""","""Фенолы летуч."""
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""",Медь
"""р.Урал - г.Оренбург""","""3А Загрязненная""",NH4
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",БПК5
"""р.Авача - г.Елизово""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Амур - г.Хабаровск""","""3А Загрязненная""",NO3
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""",NO2
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""",SO4
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",Цинк
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",SO4
"""р.Лена - г.Якутск""","""3А Загрязненная""",NO3
"""Р.ВОЛГА - ИВАНЬКОВСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",SO4
"""ВДХР ИВАНЬКОВСКОЕ - Г.ДУБНА""","""3Б Очень загрязненная""",Хлоpиды
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""",БПК5
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""",SO4
"""Р.НАЙБА, Г.ДОЛИНСК 5 КМ.НИЖЕ СБР.СТ.ВОД ЦБЗ""","""3А Загрязненная""",Нефтепpод.
"""р.Авача - г.Елизово""","""3А Загрязненная""",Хлоpиды
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",NH4
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""",NO3
"""Р.ВОЛХОВ,Г.НОВАЯ ЛАДОГА 1,2К НИЖЕ ГОРОДА""","""3А Загрязненная""",Фенол
"""Р.ЕНИСЕЙ - КРАСНОЯРСКАЯ ГЭС""","""3А Загрязненная""",SO4
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""",Цинк
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""","""Железо общ."""
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Цинк
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""",NH4
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""",NO2
"""Р.ЕНИСЕЙ - КРАСНОЯРСКАЯ ГЭС""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.ЧУЛЫМ, ПГТ БАТУРИНО, В ЧЕР ПОСЕЛКА""","""4А Грязная""",Нефтепpод.
"""Р.ОБЬ, Г.САЛЕХАРД, 4КМ К З О ГОРОДА, 7 КМ ВЫШЕ ГИДРОПОСТА""","""4В Очень грязная""",Хлоpиды
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",Цинк
"""Р.СЕЛЕНГА, С.МУРЗИНО 0,4КМ НИЖЕ СЕЛА МУРЗИНО""","""3Б Очень загрязненная""",NH4
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",Цинк
"""р.Амур - г.Хабаровск""","""3А Загрязненная""",NH4
"""р.Ока - г.Муром""","""4А Грязная""",NH4
"""р.Витим - г.Бодайбо""",,"""Железо общ."""
"""р.Обь - г.Салехард""","""4Б Грязная""","""Фенолы летуч."""
"""р.Охинка - г.Оха""","""4Б Грязная""",NH4
"""р.Дон - г.Лиски""","""3А Загрязненная""",БПК5
"""р.Олекма - с.Куду-Кюель""","""3Б Очень загрязненная""",SO4
"""БАССЕЙН ЛУГИ""","""3А Загрязненная, 3Б Очень загрязненная""",АСПАВ
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",Маpганец
"""р.Урал - г.Оренбург""","""3А Загрязненная""",Нефтепpод.
"""Р.ТОМЬ, Г.ТОМСК 3,5КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Формальдег.
"""Р.ОБЬ, Г.НОВОСИБИРСК 0.3 КМ НИЖЕ ПЛОТИНЫ ГЭС""","""4А Грязная""",NO3
"""БАССЕЙН ЛУГИ""","""3А Загрязненная, 3Б Очень загрязненная""",Цинк
"""Р.ЧУЛЫМ, ПГТ БАТУРИНО, В ЧЕР ПОСЕЛКА""","""4А Грязная""",NO3
"""р.Москва - г.Коломна""","""4Г Очень грязная""","""Фенолы летуч."""
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""","""Железо общ."""
"""р.Белая - г.Стерлитамак""","""4А Грязная""",Медь
"""р.Северная Двина - с.Усть-Пинега""","""3А Загрязненная""",Хлоpиды
"""р.Вычегда - г.Коряжма""","""3Б Очень загрязненная""",Хлоpиды
"""р.Ока - г.Муром""","""4А Грязная""",Хлоpиды
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""",Кислоpод
"""Р.НЕВА - Д.НОВОСАРАТОВКА""","""3А Загрязненная""",Цинк
"""р.Кубань - ст-ца Ладожская""","""4А Грязная""",Хлоpиды
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",NH4
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",NO3
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO2
"""р.Амур - г.Хабаровск""","""3А Загрязненная""",БПК5
"""Р.НАЙБА, Г.ДОЛИНСК 5 КМ.НИЖЕ СБР.СТ.ВОД ЦБЗ""","""3А Загрязненная""","""Железо общ."""
"""р.Витим - г.Бодайбо""",,SO4
"""р.Ока - г.Муром""","""4А Грязная""",Нефтепpод.
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Никель
"""р.Обь - д.Белогорье""","""4А Грязная""",NO2
"""р.Дон - г.Лиски""","""3А Загрязненная""",Хлоpиды
"""Р.КУБАНЬ, Г.ТЕМРЮК 3КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",NH4
"""Р.ВОЛХОВ,Г.НОВАЯ ЛАДОГА 1,2К НИЖЕ ГОРОДА""","""3А Загрязненная""","""Железо общ."""
"""р.Хопер - г.Новохоперск""","""3А Загрязненная""",NO3
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""",Кислоpод
"""ВДХР ИВАНЬКОВСКОЕ - Г.ДУБНА""","""3Б Очень загрязненная""",Кислоpод
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",NO3
"""ВДХР КАМСКОЕ - Д.УСТЬ-ПОЖВА""","""4А Грязная""",Цинк
"""Р.ТОМЬ - Г.ТОМСК""","""3Б Очень загрязненная""",NH4
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""",Хлоpиды
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""",Нефтепpод.
"""ИРКУТСКОЕ ВДХР (Р.АНГАРА), ИСТОК АНГАРЫ""","""1 Условно чистая""",NH4
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",БПК5
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",БПК5
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Нижняя Тунгуска - факт.Большой Порог""","""3А Загрязненная""",Кислоpод
"""Р.ЧУЛЫМ, ПГТ БАТУРИНО, В ЧЕР ПОСЕЛКА""","""4А Грязная""",Хлоpиды
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",Кислоpод
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",Медь
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",Маpганец
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",Кислоpод
"""Р.ОБЬ, Г.НОВОСИБИРСК 0.3 КМ НИЖЕ ПЛОТИНЫ ГЭС""","""4А Грязная""",Медь
"""Р.СЕЛЕНГА, С.МУРЗИНО 0,4КМ НИЖЕ СЕЛА МУРЗИНО""","""3Б Очень загрязненная""",Хлоpиды
"""Р.ОБЬ - Г.КОЛПАШЕВО""","""3Б Очень загрязненная""",Кислоpод
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",NH4
"""ВДХР БРАТСКОЕ - Г.УСОЛЬЕ-СИБИРСКОЕ 2""","""1 Условно чистая""",Маpганец
"""ВДХР УГЛИЧСКОЕ - Г.УГЛИЧ""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ВОЛГА - Г.ЧКАЛОВСК 4.0 КМ ВЫШЕ ГЭС""","""3Б Очень загрязненная""",Цинк
"""ВДХР ИВАНЬКОВСКОЕ - Г.ДУБНА""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ВОЛГА - Г.ЧКАЛОВСК 4.0 КМ ВЫШЕ ГЭС""","""3Б Очень загрязненная""",Хлоpиды
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",NO3
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",NO2
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",SO4
"""ВДХР ЧЕБОКСАРСКОЕ - Г.ЧЕБОКСАРЫ""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",Цинк
"""Р.ИРТЫШ, Г.ОМСК,3,16 КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",Хлоpиды
"""ВДХР БРАТСКОЕ - Г.УСОЛЬЕ-СИБИРСКОЕ 2""","""1 Условно чистая""","""Окисл. Бихp."""
"""Р.ТОМЬ, Г.ТОМСК 3,5КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ТОМЬ, Г.ТОМСК 3,5КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Нефтепpод.
"""ВДХР.УСТЬ-ИЛИМСКОЕ С.УСТЬ— ВИХОРЕВА, 24,5КМ ВЫШЕ П.СЕДАН""","""3А Загрязненная""",Хлоpиды
"""Р.ЕНИСЕЙ - КРАСНОЯРСКАЯ ГЭС""","""3А Загрязненная""","""Фенолы летуч."""
"""Р.ЕНИСЕЙ - КРАСНОЯРСКАЯ ГЭС""","""3А Загрязненная""",Нефтепpод.
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",SO4
"""ВДХР ЧЕБОКСАРСКОЕ - Г.ЧЕБОКСАРЫ""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Хлоpиды
"""р.Нижняя Тунгуска - факт.Большой Порог""","""3А Загрязненная""",Маpганец
"""р.Москва - г.Коломна""","""4Г Очень грязная""",БПК5
"""Р.КУБАНЬ, Г.ТЕМРЮК 3КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",Нефтепpод.
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",БПК5
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""","""Фенолы летуч."""
